r,c,t,twist,airfoil 
2.5714,2.036,0,40,Cylinder1 
4.7143,2.065,0,20,Cylinder1 
6.8571,2.334,0,20,Cylinder1 
9,2.736,0,10,FFA_W3-301 
11.1429,3.137,0,10,FFA_W3-301 
13.2857,3.485,0,10,FFA_W3-301 
15.4286,3.372,0,10,FFA_W3-301 
17.5714,3.183,0,10,FFA_W3-301 
19.7143,2.995,0,9.079,FFA_W3-241 
21.8571,2.807,0,7.014,FFA_W3-241 
24,2.618,0,5.231,FFA_W3-241 
26.1429,2.43,0,3.589,FFA_W3-211 
28.2857,2.242,0,2.303,FFA_W3-211 
30.4286,2.054,0,1.281,NACA_63-221 
32.5714,1.865,0,0.406,NACA_63-221 
34.7143,1.677,0,-0.303,NACA_63-218 
36.8571,1.489,0,-0.84,NACA_63-218 
39,1.3,0,-1.274,NACA_63-218 
41.1429,1.112,0,-1.627,NACA_63-218 
43.2857,0.924,0,-1.842,NACA_63-218 
45.4286,0.735,0,-1.973,NACA_63-218 
45.93,0.528,0,-1.44,NACA_63-218 
